Keyword,Search Index,Minimum Price,Sort,Node,Competition,Global Monthly Searches,Local Monthly Searches,Approximate CPC
best mountain bike,SportingGoods,500,,,0.31,49500,27100,$0.40
best wireless router,Electronics,50,reviewrank,,0.41,110000,74000,$0.40
best food processor,Kitchen,100,,,0.46,18100,9900,$0.39
best irons 2010,Kitchen,50,,510242,0.29,6600,3600,$0.39
best sewing machines,Kitchen,150,reviewrank,,0.66,6600,4400,$0.39
best slow cooker,Kitchen,50,,,0.23,27100,14800,$0.39
best steam iron,Kitchen,50,,510242,0.78,8100,2900,$0.39
best steam irons,Kitchen,30,,510242,0.79,14800,4400,$0.39
best waffle maker,Kitchen,,,,0.6,3600,2900,$0.39
best rice cooker,Kitchen,30,,,0.44,8100,5400,$0.38
best quotes,Books,,,,0.02,60500,22200,$0.37
best deep fryer,Kitchen,40,,,0.64,5400,3600,$0.36
best meatloaf recipe,Books,,,,0.13,12100,9900,$0.36
best mountain bikes,SportingGoods,500,,,0.48,9900,5400,$0.36
best road bikes,SportingGoods,1000,,,0.46,12100,8100,$0.36
best slow cookers,Kitchen,30,,,0.26,27100,18100,$0.36
best bread machine,Kitchen,50,,,0.28,8100,6600,$0.35
best crock pot,Kitchen,,,,0.12,27100,27100,$0.35
best wedding songs,MP3Downloads,,salesrank,,0.07,33100,22200,$0.34
best gps 2011,Electronics,100,,,0.41,4400,3600,$0.32
best mmorpg 2010,VideoGames,,,,0.25,18100,6600,$0.31
best paintball gun,SportingGoods,50,,,0.28,9900,8100,$0.29
best bluray player,Electronics,100,salesrank,,0.44,49500,33100,$0.28
best movies ever,DVD,,,,0.05,110000,27100,$0.21
